iter	Passed	Remaining
0	7	2333
1	14	2181
2	22	2192
3	29	2212
4	37	2209
5	44	2180
6	51	2154
7	60	2195
8	67	2184
9	75	2202
10	83	2196
11	92	2223
12	100	2226
13	109	2228
14	117	2234
15	127	2256
16	136	2275
17	145	2286
18	154	2287
19	165	2310
20	175	2327
21	183	2318
22	191	2310
23	200	2302
24	209	2301
25	218	2306
26	227	2296
27	237	2304
28	245	2297
29	256	2306
30	266	2310
31	275	2303
32	283	2291
33	292	2284
34	301	2282
35	311	2284
36	319	2268
37	329	2269
38	338	2264
39	347	2256
40	355	2247
41	363	2231
42	370	2216
43	378	2204
44	387	2193
45	395	2182
46	402	2168
47	411	2161
48	419	2150
49	428	2142
50	437	2136
51	447	2133
52	455	2124
53	463	2112
54	472	2105
55	481	2098
56	490	2092
57	499	2083
58	507	2072
59	514	2058
60	523	2052
61	531	2040
62	540	2034
63	550	2028
64	558	2017
65	566	2008
66	573	1995
67	581	1982
68	589	1972
69	597	1963
70	605	1953
71	614	1945
72	622	1937
73	631	1927
74	638	1916
75	647	1907
76	655	1897
77	664	1890
78	672	1881
79	681	1873
80	690	1866
81	697	1854
82	704	1841
83	712	1832
84	720	1823
85	729	1814
86	736	1804
87	743	1791
88	751	1780
89	759	1773
90	768	1765
91	776	1756
92	786	1749
93	793	1738
94	801	1730
95	810	1721
96	817	1710
97	824	1700
98	833	1692
99	840	1681
100	848	1672
101	856	1663
102	864	1653
103	871	1642
104	879	1633
105	888	1626
106	897	1618
107	905	1609
108	914	1602
109	922	1593
110	932	1588
111	941	1581
112	949	1571
113	956	1559
114	963	1550
115	973	1544
116	981	1534
117	988	1524
118	995	1514
119	1005	1507
120	1012	1498
121	1022	1491
122	1031	1484
123	1039	1475
124	1047	1465
125	1056	1459
126	1064	1450
127	1072	1441
128	1080	1432
129	1088	1423
130	1098	1417
131	1106	1408
132	1116	1401
133	1125	1393
134	1134	1386
135	1143	1379
136	1152	1371
137	1161	1363
138	1169	1355
139	1179	1348
140	1187	1339
141	1195	1330
142	1204	1322
143	1212	1313
144	1220	1305
145	1228	1295
146	1237	1287
147	1244	1278
148	1253	1270
149	1261	1261
150	1268	1252
151	1278	1245
152	1285	1234
153	1293	1226
154	1299	1215
155	1306	1206
156	1314	1197
157	1321	1187
158	1329	1178
159	1336	1169
160	1343	1159
161	1350	1150
162	1357	1140
163	1365	1131
164	1371	1121
165	1378	1112
166	1384	1103
167	1391	1093
168	1398	1084
169	1406	1075
170	1413	1066
171	1420	1056
172	1427	1048
173	1433	1038
174	1441	1029
175	1448	1020
176	1454	1010
177	1461	1001
178	1467	992
179	1474	982
180	1480	973
181	1488	964
182	1494	955
183	1500	946
184	1507	937
185	1515	928
186	1521	919
187	1528	910
188	1534	901
189	1542	892
190	1548	883
191	1554	874
192	1562	866
193	1568	857
194	1575	848
195	1582	839
196	1589	831
197	1597	822
198	1603	813
199	1609	804
200	1616	796
201	1622	787
202	1628	778
203	1636	769
204	1643	761
205	1649	752
206	1656	744
207	1662	735
208	1669	726
209	1676	718
210	1682	709
211	1689	701
212	1695	692
213	1702	684
214	1709	675
215	1716	667
216	1723	659
217	1730	650
218	1737	642
219	1743	633
220	1749	625
221	1755	616
222	1762	608
223	1769	600
224	1775	591
225	1782	583
226	1789	575
227	1797	567
228	1803	559
229	1810	551
230	1817	543
231	1824	534
232	1830	526
233	1838	518
234	1844	510
235	1851	502
236	1857	493
237	1865	485
238	1872	477
239	1878	469
240	1884	461
241	1891	453
242	1898	445
243	1904	437
244	1912	429
245	1918	421
246	1925	413
247	1932	405
248	1938	397
249	1945	389
250	1953	381
251	1960	373
252	1966	365
253	1973	357
254	1980	349
255	1987	341
256	1995	333
257	2001	325
258	2008	317
259	2014	309
260	2022	302
261	2029	294
262	2036	286
263	2042	278
264	2048	270
265	2055	262
266	2062	254
267	2068	246
268	2075	239
269	2083	231
270	2090	223
271	2098	216
272	2105	208
273	2112	200
274	2118	192
275	2124	184
276	2131	177
277	2138	169
278	2147	161
279	2153	153
280	2160	146
281	2167	138
282	2174	130
283	2180	122
284	2186	115
285	2194	107
286	2201	99
287	2208	92
288	2214	84
289	2220	76
290	2227	68
291	2234	61
292	2241	53
293	2248	45
294	2254	38
295	2260	30
296	2268	22
297	2274	15
298	2280	7
299	2286	0
